Date,AAPL,NVDA,TSLA
2023-09-26,169.97,41.88,244.12
2023-09-27,168.46,42.44,240.5
2023-09-28,168.71,43.06,246.38
2023-09-29,169.23,43.47,250.22
2023-10-02,171.74,44.75,251.6
2023-10-03,170.4,43.49,246.53
2023-10-04,171.65,44.01,261.16
2023-10-05,172.88,44.66,260.05
2023-10-06,175.43,45.73,260.53
2023-10-09,176.92,45.24,259.67
2023-10-10,176.32,45.77,263.62
2023-10-11,177.72,46.78,262.99
2023-10-12,178.62,46.91,258.87
2023-10-13,176.78,45.43,251.12
2023-10-16,176.65,46.07,253.92
2023-10-17,175.1,43.91,254.85
2023-10-18,173.8,42.17,242.68
2023-10-19,173.43,42.07,220.11
2023-10-20,170.88,41.36,211.99
2023-10-23,171.0,42.95,212.08
2023-10-24,171.43,43.63,216.52
2023-10-25,169.12,41.75,212.42
2023-10-26,164.96,40.3,205.76
2023-10-27,166.27,40.47,207.3
2023-10-30,168.32,41.13,197.36
2023-10-31,168.79,40.75,200.84
2023-11-01,171.95,42.3,205.66
2023-11-02,175.51,43.48,218.51
2023-11-03,174.6,44.98,219.96
2023-11-06,177.15,45.72,219.27
2023-11-07,179.71,45.93,222.18
2023-11-08,180.77,46.54,222.11
2023-11-09,180.3,46.92,209.98
2023-11-10,184.48,48.3,214.65
2023-11-13,182.9,48.59,223.71
2023-11-14,185.51,49.62,237.41
2023-11-15,186.08,48.86,242.84
2023-11-16,187.76,49.45,233.59
2023-11-17,187.74,49.27,234.3
2023-11-20,189.48,50.38,235.6
2023-11-21,188.68,49.91,241.2
2023-11-22,189.34,48.68,234.21
2023-11-24,188.02,47.75,235.45
2023-11-27,187.84,48.21,236.08
2023-11-28,188.44,47.79,246.72
2023-11-29,187.42,48.11,244.14
2023-11-30,188.0,46.74,240.08
2023-12-01,189.27,46.73,238.83
2023-12-04,187.48,45.48,235.58
2023-12-05,191.43,46.54,238.72
2023-12-06,190.34,45.48,239.37
2023-12-07,192.27,46.57,242.64
2023-12-08,193.7,47.48,243.84
2023-12-11,191.19,46.6,239.74
2023-12-12,192.71,47.63,237.01
2023-12-13,195.92,48.06,239.29
2023-12-14,196.07,48.32,251.05
2023-12-15,195.54,48.86,253.5
2023-12-18,193.88,50.05,252.08
2023-12-19,194.92,49.58,257.22
2023-12-20,192.83,48.08,247.14
2023-12-21,192.68,48.96,254.5
2023-12-22,191.61,48.8,252.54
2023-12-26,191.07,49.25,256.61
2023-12-27,191.16,49.39,261.44
2023-12-28,191.59,49.49,253.18
2023-12-29,190.55,49.49,248.48
2024-01-02,183.73,48.14,248.42
2024-01-03,182.36,47.54,238.45
2024-01-04,180.04,47.97,237.93
2024-01-05,179.32,49.07,237.49
2024-01-08,183.65,52.22,240.45
2024-01-09,183.24,53.11,234.96
2024-01-10,184.28,54.32,233.94
2024-01-11,183.68,54.79,227.22
2024-01-12,184.01,54.68,218.89
2024-01-16,181.74,56.35,219.91
2024-01-17,180.8,56.02,215.55
2024-01-18,186.69,57.08,211.88
2024-01-19,189.59,59.46,212.19
2024-01-22,191.9,59.62,208.8
2024-01-23,193.17,59.84,209.14
2024-01-24,192.5,61.33,207.83
2024-01-25,192.17,61.58,182.63
2024-01-26,190.44,61.0,183.25
2024-01-29,189.76,62.43,190.93
2024-01-30,186.11,62.74,191.59
2024-01-31,182.5,61.49,187.29
